Menu Item,Category,Price,Units Sold,Revenue,Profit,Contribution Margin %,Food Cost %,Quadrant,Popularity Score,Profitability Score
Grilled Atlantic Salmon,Main Course,$26.99,145,$3913.55,$3074.00,21.20%,21.50%,STARS,1.2,1.37
Spaghetti Carbonara,Main Course,$16.99,195,$3313.05,$2839.20,14.56%,14.30%,PLOWHORSES,1.61,0.94
Chicken Stir Fry,Main Course,$15.99,175,$2798.25,$2318.75,13.25%,17.10%,PLOWHORSES,1.44,0.86
Classic Burger,Main Course,$14.99,185,$2773.15,$2314.35,12.51%,16.50%,PLOWHORSES,1.53,0.81
Cappuccino,Beverage,$4.50,380,$1710.00,$1554.20,4.09%,9.10%,STARS,1.27,1.07
Loaded Potato Skins,Appetizer,$9.99,165,$1648.35,$1430.55,8.67%,13.20%,PLOWHORSES,1.63,0.94
Bruschetta al Pomodoro,Appetizer,$8.99,180,$1618.20,$1393.20,7.74%,13.90%,PLOWHORSES,1.78,0.84
Espresso,Beverage,$3.50,420,$1470.00,$1327.20,3.16%,9.70%,PLOWHORSES,1.41,0.83
Fettuccine Alfredo,Main Course,$17.99,85,$1529.15,$1238.45,14.57%,19.00%,DOGS,0.7,0.94
Molten Chocolate Lava Cake,Dessert,$8.99,155,$1393.45,$1043.15,6.73%,25.10%,PLOWHORSES,1.57,0.99
Italian Sausage Pasta,Main Course,$17.99,70,$1259.30,$996.10,14.23%,20.90%,DOGS,0.58,0.92
Mushroom Risotto,Main Course,$18.99,60,$1139.40,$961.80,16.03%,15.60%,PUZZLES,0.49,1.04
Herb-Roasted Pork Tenderloin,Main Course,$19.99,55,$1099.45,$957.55,17.41%,12.90%,PUZZLES,0.45,1.13
Tiramisu,Dessert,$7.99,125,$998.75,$907.50,7.26%,9.10%,STARS,1.27,1.07
Asian Lettuce Wraps,Appetizer,$11.99,65,$779.35,$613.60,9.44%,21.30%,PUZZLES,0.64,1.03
New York Cheesecake,Dessert,$7.99,75,$599.25,$525.75,7.01%,12.30%,PUZZLES,0.76,1.03
Shrimp Cocktail,Appetizer,$13.99,45,$629.55,$508.05,11.29%,19.30%,PUZZLES,0.45,1.23
Caprese Salad,Appetizer,$10.99,50,$549.50,$437.00,8.74%,20.50%,DOGS,0.5,0.95
Iced Coffee,Beverage,$4.99,95,$474.05,$400.90,4.22%,15.40%,PUZZLES,0.32,1.1
Panna Cotta,Dessert,$6.99,40,$279.60,$246.40,6.16%,11.90%,DOGS,0.41,0.91
